N,Label,t_asset,t_pipeline,t_inference,t_total,ID
155,N,6.800051778554916e-06,2.520417899824679,0.07167740003205836,2.592102099908516,0505202310054
156,UT,6.00004568696022e-06,1.1644417000934482,0.07277400000020862,1.2372217001393437,030520235053
157,OT,6.299931555986404e-06,2.362323399866,0.08621799992397428,2.44854769972153,1005202317074
158,OT,7.200054824352264e-06,2.3129678999539465,0.06687780003994703,2.379852900048718,030520237048
159,N,5.299923941493034e-06,1.1872686999849975,0.06183719984255731,1.2491111997514963,280420233005
160,OT,3.200024366378784e-06,2.0125370000023395,0.06339680007658899,2.075937000103295,280420233045
161,OT,3.4999102354049683e-06,2.6498753000050783,0.06931130005978048,2.719190099975094,050520239013
162,OT,3.400025889277458e-06,2.099511800101027,0.0674314999487251,2.1669467000756413,050520239051
163,N,1.6799895092844963e-05,1.3722447000909597,0.07261160016059875,1.4448731001466513,030520237060
164,NS,6.400048732757568e-06,2.2199030998162925,0.06453149998560548,2.2844409998506308,270420231024
165,OT,5.899928510189056e-06,2.159688299987465,0.06793550006113946,2.227629699977115,050520239000
166,N,5.5998098105192184e-06,1.3339507998898625,0.06943860021419823,1.4033949999138713,030520237004
167,NE,5.699926987290382e-06,2.2775659000035375,0.060817399993538857,2.3383889999240637,1005202316072
168,N,4.09991480410099e-06,1.2291214000433683,0.08437600010074675,1.3135015000589192,280420233037
169,NE,5.699926987290382e-06,2.9372970000840724,0.10104290000163019,3.03834560001269,030520235030
170,NS,4.899920895695686e-06,2.5737056999932975,0.07174500008113682,2.64545559999533,1005202314015
171,UT,3.8000289350748062e-06,1.2318372000008821,0.0841389000415802,1.3159799000713974,030520235082
172,OT,7.799826562404633e-06,2.3245743999723345,0.06932589993812144,2.3939080997370183,050520238066
173,UT,6.3998159021139145e-06,2.430628899950534,0.08285599993541837,2.5134912997018546,280420232014
174,NS,5.600042641162872e-06,2.8143291999585927,0.08448939980007708,2.898824199801311,1005202315037
175,NE,4.200031980872154e-06,2.478365199873224,0.08406269992701709,2.562432099832222,030520236001
176,UT,8.299946784973145e-06,1.0829510998446494,0.08085969998501241,1.1638190997764468,030520235082
177,N,5.9998128563165665e-06,1.3394798000808805,0.07053339993581176,1.4100191998295486,280420232011
178,N,5.600042641162872e-06,1.5627011000178754,0.08040299988351762,1.6431096999440342,280420233022
179,NE,6.200047209858894e-06,2.7961713999975473,0.10009040008299053,2.8962680001277477,1005202312015
180,N,7.699942216277122e-06,1.706727199954912,0.0748004000633955,1.7815352999605238,1005202316019
181,N,3.899913281202316e-06,1.375864600064233,0.07129869982600212,1.4471671998035163,030520236079
182,N,5.699926987290382e-06,1.3873064001090825,0.06784310005605221,1.455155200092122,280420232074
183,N,6.600050255656242e-06,1.3514966999646276,0.07116240006871521,1.4226657000835985,280420232011
184,N,2.8899870812892914e-05,1.4772965000011027,0.07729790010489523,1.5546232999768108,1005202316029
185,N,5.699926987290382e-06,1.4226801001932472,0.07634370005689561,1.49902950017713,270420231033
186,OT,4.299916326999664e-06,2.364504200173542,0.06964339991100132,2.4341519000008702,0505202310048
187,N,3.6999117583036423e-06,1.437819299986586,0.08161480003036559,1.5194377999287099,1005202316008
188,UT,6.299931555986404e-06,2.9550372001249343,0.06894579995423555,3.023989300010726,1005202316080
189,N,5.400041118264198e-06,1.3515880000777543,0.08645409997552633,1.4380475000943989,1005202316008
190,UT,6.500165909528732e-06,1.1563719001132995,0.07297410001046956,1.2293525002896786,030520234055
191,UT,5.499925464391708e-06,1.2327763999346644,0.175046700052917,1.4078285999130458,1005202312014
192,N,3.2999087125062943e-06,1.2433887000661343,0.06775649986229837,1.3111484998371452,030520237077
193,N,5.299923941493034e-06,1.5023863001260906,0.06934810010716319,1.5717397001571953,280420233010
194,N,5.00003807246685e-06,1.4597036999184638,0.08673370000906289,1.5464423999655992,280420232074
195,OT,6.6999346017837524e-06,3.2429144999478012,0.07960039982572198,3.322521599708125,050520239055
196,OT,6.09993003308773e-06,2.8338107999879867,0.07792469998821616,2.911741599906236,050520239055
197,N,4.09991480410099e-06,1.403970600105822,0.07404770003631711,1.4780224000569433,280420233054
198,NS,6.299931555986404e-06,2.2272788998670876,0.06717810011468828,2.294463299913332,1005202315065
199,OT,5.400041118264198e-06,2.3892258000560105,0.08905509999021888,2.4782863000873476,1005202311039
200,OT,4.700152203440666e-06,3.0042464998550713,0.09698219993151724,3.101233399938792,050520239033
201,UT,6.09993003308773e-06,3.7476678998209536,0.08066660002805293,3.8283405997790396,280420233013
202,OT,4.499917849898338e-06,2.82679590000771,0.08993280003778636,2.916733199963346,1005202311045
203,N,6.200047209858894e-06,1.9873936001677066,0.09424649993889034,2.081646300153807,280420233022
204,UT,7.6000578701496124e-06,1.4798746998421848,0.08704160014167428,1.5669239000417292,030520234014
205,N,7.200054824352264e-06,2.079199699917808,0.09609989984892309,2.1753067998215556,280420233022
