id,task_Robot_I (A)__mean,task_Robot_I (A)__std,task_Robot_I (A)__rms,task_Robot_I (A)__peak,task_Robot_I (A)__peak_time,task_Robot_I (A)__range,task_Robot_I (A)__area,task_Robot_I (A)__wl,task_Robot_I (A)__iqr,task_Robot_I (A)__skew,task_Robot_I (A)__kurt,task_Robot_I (A)__max_grad,intr_Torque (Nm)__mean,intr_Torque (Nm)__std,intr_Torque (Nm)__min,intr_Torque (Nm)__max,intr_Torque (Nm)__range,intr_Torque (Nm)__rms,intr_Current (V)__mean,intr_Current (V)__std,intr_Current (V)__min,intr_Current (V)__max,intr_Current (V)__range,intr_Current (V)__rms
384,0.9978186106125353,0.1299233255287937,1.0062415466483141,1.3303733337666537,813.758,0.714832639314579,4094.772649178115,25.62509344366198,0.14492339485026307,-0.06329817556518291,2.7778940161102486,0.07353499411813358,0.2185926871602582,0.23170314391685556,-0.0046720452055011,1.0168428608578115,1.0215149060633126,0.31854216327026097,0.47488760943213826,0.19984870963737708,-0.0637027737284612,1.1770373852447586,1.2407401589732199,0.5152259197050317
385,0.9341259126305153,0.15690313306801032,0.9472115992819929,1.4128288517507053,298.69999999999993,0.7649789286950472,1510.873606600738,12.254282880548859,0.23128969323872295,0.568101990084092,2.4810977857501273,0.10751255888925804,0.2911051968883927,0.22505571652191156,0.0096871882214452,1.0801206235291407,1.0704334353076956,0.36795694203890333,0.5324049554310788,0.18719167900123201,0.2491962980559489,1.2930653589277428,1.0438690608717938,0.5643542869996376
386,0.9371384630564021,0.15224087005895462,0.9494239208362212,1.3786504389464749,234.583,0.8337335023958187,1576.0604787165569,12.404121911593968,0.21759673336166374,0.23722831755808907,2.7315726320332043,0.12796986617835282,0.2844403096135447,0.22990272272005738,0.0166739145863403,1.1310157414032669,1.1143418268169265,0.3657342637040516,0.5270137673112891,0.19358786330747543,0.2922481340792549,1.2865086972237798,0.9942605631445249,0.5614443621193389
387,0.9391319452640337,0.10636144434941054,0.9451357402296777,1.2642821097504924,134.87300000000005,0.6253891653129293,3414.613826532699,24.409778965374382,0.11283135164963709,0.2846106034920654,3.6003173726515896,0.08621703669817427,0.23489641522468477,0.2652569703670471,-0.002094704517296,1.0759706835431266,1.0780653880604227,0.3543128366482253,0.4854274915737559,0.22941950114382054,-0.056171549504126,1.2140034912820543,1.2701750407861803,0.5369107533665799
388,0.9534045562601589,0.1437037089857924,0.9641737415393057,1.308822409701494,89.67700000000002,0.6618774524891804,1542.2942578468878,11.80363134653389,0.17357951939851368,0.3716780354225427,2.545361366509794,0.06538161467547732,0.29467624510275514,0.23520036599742117,0.0188457749540793,1.1284318251608425,1.1095860502067632,0.3770322288520968,0.5353233773835215,0.19835886227023544,0.2913126807272767,1.2917343968694674,1.0004217161421907,0.5708917205691832
389,0.9577366458517794,0.1512987037680555,0.9696137275066348,1.3990013514422222,11.684000000000085,0.7440965448612877,1597.3367677203328,11.10472486966372,0.2245503468136334,0.3751124333290995,2.4998138622138666,0.12302678162692593,0.30879858337244115,0.2500062896209069,0.0166016831438228,1.1398722744895138,1.123270591345691,0.3973156301265271,0.5537750842245334,0.21168704448314973,0.2756142789160872,1.3269733078321715,1.0513590289160843,0.5928560100984893
390,0.9597134361731633,0.158730141059872,0.9727513234389287,1.6756211021214211,301.331,1.0495567533625776,1667.759596912588,12.863857930460478,0.22555824578570283,0.8498411024103649,4.766150746000511,0.08914509376110336,0.32877957961915133,0.2993444877307129,0.0166066077993007,1.1331334205314718,1.116526812732171,0.44463820608367516,0.567644163539954,0.2529983613780014,0.2826418595594423,1.2918069462004698,1.0091650866410276,0.6214724991992226
391,0.9529157581693972,0.14695661704369423,0.9641808385673738,1.3292641943274397,75.13499999999999,0.6550089767761155,1602.6159444393566,10.916709862694905,0.21497120056326746,0.46145421962375566,2.3164747485326247,0.07593241499976766,0.29912983194750487,0.25306510932456067,0.0187866765610723,1.1413037599067632,1.122517083345691,0.39181705669660977,0.5422544245062144,0.21171856080856494,0.2957516106550125,1.2861402231002368,0.9903886124452244,0.5821207863385534
392,0.9499390577703368,0.14948991807777243,0.9616295799758316,1.3378704996366635,328.31999999999994,0.7198085274172888,1595.4712271973917,11.298332839620596,0.2002831059586212,0.5988374364841145,2.582318811686299,0.08200128442177257,0.28874018137271534,0.21424301056938808,0.0166886889608392,1.0776647776503523,1.060976088689513,0.35954270944768646,0.5318282925416481,0.1783839419738275,0.2572418462892389,1.2803845583449918,1.0231427120557528,0.5609475586023054
393,0.9452293712913256,0.15336508691167194,0.9575904209186826,1.3459986186803423,267.972,0.7104660667252536,1576.4082903015956,11.996108357478876,0.22799807270421668,0.3924514525676837,2.3274146338775075,0.055041680917328195,0.29662630631065473,0.23636957055723717,0.0158695217498834,1.0791947555384644,1.063325233788581,0.3792858282099597,0.53982917275759,0.19666884410730565,0.2667001603356711,1.2726897229603764,1.0059895626247053,0.5745382232738284
