feature,importance_mean,importance_std
"intr_Torque (Nm)__fft_coefficient__attr_""angle""__coeff_30",0.0,0.0
"intr_Torque (Nm)__fft_coefficient__attr_""angle""__coeff_36",0.0,0.0
"intr_Current (V)__fft_coefficient__attr_""abs""__coeff_91",0.0,0.0
intr_Torque (Nm)__symmetry_looking__r_0.05,0.0,0.0
intr_Current (V)__energy_ratio_by_chunks__num_segments_10__segment_focus_8,0.0,0.0
"intr_Current (V)__fft_coefficient__attr_""real""__coeff_28",0.0,0.0
"intr_Current (V)__fft_coefficient__attr_""angle""__coeff_19",0.0,0.0
"intr_Current (V)__fft_coefficient__attr_""real""__coeff_27",0.0,0.0
"intr_Torque (Nm)__fft_coefficient__attr_""real""__coeff_84",0.0,0.0
"intr_Torque (Nm)__fft_coefficient__attr_""real""__coeff_63",0.0,0.0
"task_Robot_I (A)__fft_coefficient__attr_""real""__coeff_17",0.0,0.0
"intr_Torque (Nm)__fft_coefficient__attr_""imag""__coeff_32",0.0,0.0
"intr_Torque (Nm)__agg_linear_trend__attr_""rvalue""__chunk_len_50__f_agg_""max""",0.0,0.0
"intr_Torque (Nm)__fft_coefficient__attr_""real""__coeff_68",0.0,0.0
"intr_Torque (Nm)__fft_coefficient__attr_""real""__coeff_17",0.0,0.0
intr_Torque (Nm)__kurtosis,0.0,0.0
task_Robot_I (A)__autocorrelation__lag_4,0.0,0.0
"intr_Torque (Nm)__fft_coefficient__attr_""imag""__coeff_29",0.0,0.0
"intr_Current (V)__fft_coefficient__attr_""real""__coeff_85",0.0,0.0
"task_Robot_I (A)__fft_coefficient__attr_""abs""__coeff_24",0.0,0.0
"intr_Torque (Nm)__agg_linear_trend__attr_""stderr""__chunk_len_50__f_agg_""var""",0.0,0.0
task_Robot_I (A)__autocorrelation__lag_5,0.0,0.0
task_Robot_I (A)__autocorrelation__lag_3,0.0,0.0
"intr_Current (V)__fft_coefficient__attr_""abs""__coeff_27",0.0,0.0
"intr_Torque (Nm)__fft_coefficient__attr_""abs""__coeff_13",0.0,0.0
"intr_Torque (Nm)__fft_coefficient__attr_""abs""__coeff_65",0.0,0.0
intr_Torque (Nm)__energy_ratio_by_chunks__num_segments_10__segment_focus_2,0.0,0.0
"intr_Current (V)__fft_coefficient__attr_""abs""__coeff_29",0.0,0.0
"intr_Current (V)__fft_coefficient__attr_""angle""__coeff_51",0.0,0.0
"task_Robot_I (A)__fft_coefficient__attr_""abs""__coeff_21",0.0,0.0
"intr_Torque (Nm)__fft_coefficient__attr_""abs""__coeff_99",0.0,0.0
"intr_Torque (Nm)__fft_coefficient__attr_""angle""__coeff_35",0.0,0.0
intr_Current (V)__partial_autocorrelation__lag_3,0.0,0.0
"task_Robot_I (A)__fft_coefficient__attr_""real""__coeff_14",0.0,0.0
"intr_Torque (Nm)__fft_coefficient__attr_""abs""__coeff_17",0.0,0.0
"intr_Current (V)__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.8",0.0,0.0
"intr_Current (V)__agg_linear_trend__attr_""slope""__chunk_len_50__f_agg_""var""",0.0,0.0
intr_Current (V)__partial_autocorrelation__lag_6,0.0,0.0
intr_Current (V)__fourier_entropy__bins_5,0.0,0.0
"intr_Torque (Nm)__fft_coefficient__attr_""real""__coeff_53",0.0,0.0
"intr_Torque (Nm)__change_quantiles__f_agg_""mean""__isabs_False__qh_1.0__ql_0.8",0.0,0.0
"task_Robot_I (A)__fft_coefficient__attr_""imag""__coeff_16",0.0,0.0
"intr_Torque (Nm)__fft_coefficient__attr_""angle""__coeff_78",0.0,0.0
intr_Torque (Nm)__partial_autocorrelation__lag_5,0.0,0.0
"intr_Torque (Nm)__fft_coefficient__attr_""abs""__coeff_92",0.0,0.0
"intr_Torque (Nm)__fft_coefficient__attr_""abs""__coeff_15",0.0,0.0
"intr_Current (V)__fft_coefficient__attr_""imag""__coeff_17",0.0,0.0
"intr_Current (V)__fft_coefficient__attr_""angle""__coeff_52",0.0,0.0
"intr_Current (V)__fft_coefficient__attr_""real""__coeff_88",0.0,0.0
"intr_Current (V)__fft_coefficient__attr_""angle""__coeff_85",0.0,0.0
"intr_Torque (Nm)__fft_coefficient__attr_""abs""__coeff_93",0.0,0.0
intr_Torque (Nm)__fourier_entropy__bins_5,0.0,0.0
"intr_Torque (Nm)__fft_coefficient__attr_""angle""__coeff_24",0.0,0.0
"intr_Current (V)__fft_coefficient__attr_""abs""__coeff_15",0.0,0.0
"intr_Torque (Nm)__fft_coefficient__attr_""real""__coeff_54",0.0,0.0
"intr_Torque (Nm)__fft_coefficient__attr_""real""__coeff_51",0.0,0.0
"task_Robot_I (A)__fft_coefficient__attr_""abs""__coeff_22",0.0,0.0
"intr_Current (V)__fft_coefficient__attr_""real""__coeff_9",0.0,0.0
"intr_Current (V)__change_quantiles__f_agg_""var""__isabs_True__qh_0.2__ql_0.0",0.0,0.0
"intr_Current (V)__fft_coefficient__attr_""abs""__coeff_13",0.0,0.0
"intr_Torque (Nm)__fft_coefficient__attr_""abs""__coeff_12",0.0,0.0
"intr_Current (V)__agg_linear_trend__attr_""rvalue""__chunk_len_50__f_agg_""max""",0.0,0.0
"intr_Current (V)__fft_coefficient__attr_""angle""__coeff_53",0.0,0.0
"task_Robot_I (A)__fft_aggregated__aggtype_""centroid""",0.0,0.0
intr_Torque (Nm)__index_mass_quantile__q_0.1,0.0,0.0
"intr_Torque (Nm)__fft_coefficient__attr_""abs""__coeff_27",0.0,0.0
"task_Robot_I (A)__fft_coefficient__attr_""angle""__coeff_7",0.0,0.0
"intr_Current (V)__fft_coefficient__attr_""real""__coeff_95",0.0,0.0
task_Robot_I (A)__ratio_beyond_r_sigma__r_1,0.0,0.0
"intr_Current (V)__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.0",0.0,0.0
"intr_Current (V)__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.6",0.0,0.0
intr_Torque (Nm)__binned_entropy__max_bins_10,0.0,0.0
"task_Robot_I (A)__fft_coefficient__attr_""abs""__coeff_98",0.0,0.0
task_Robot_I (A)__lempel_ziv_complexity__bins_5,0.0,0.0
task_Robot_I (A)__energy_ratio_by_chunks__num_segments_10__segment_focus_2,0.0,0.0
"intr_Torque (Nm)__fft_coefficient__attr_""angle""__coeff_38",0.0,0.0
"task_Robot_I (A)__fft_coefficient__attr_""imag""__coeff_14",0.0,0.0
intr_Current (V)__number_peaks__n_5,0.0,0.0
"intr_Torque (Nm)__fft_coefficient__attr_""abs""__coeff_34",0.0,0.0
"task_Robot_I (A)__fft_coefficient__attr_""angle""__coeff_12",0.0,0.0
intr_Torque (Nm)__absolute_sum_of_changes,0.0,0.0
"intr_Torque (Nm)__fft_coefficient__attr_""imag""__coeff_50",0.0,0.0
"intr_Current (V)__fft_coefficient__attr_""imag""__coeff_54",0.0,0.0
intr_Current (V)__number_peaks__n_3,0.0,0.0
"intr_Current (V)__fft_coefficient__attr_""abs""__coeff_33",0.0,0.0
"task_Robot_I (A)__agg_linear_trend__attr_""stderr""__chunk_len_50__f_agg_""var""",0.0,0.0
intr_Torque (Nm)__ar_coefficient__coeff_5__k_10,0.0,0.0
"intr_Torque (Nm)__fft_coefficient__attr_""real""__coeff_91",0.0,0.0
"task_Robot_I (A)__fft_coefficient__attr_""abs""__coeff_96",0.0,0.0
intr_Torque (Nm)__ratio_beyond_r_sigma__r_3,0.0,0.0
"intr_Torque (Nm)__fft_coefficient__attr_""imag""__coeff_35",0.0,0.0
intr_Current (V)__absolute_sum_of_changes,0.0,0.0
"intr_Current (V)__fft_coefficient__attr_""imag""__coeff_95",0.0,0.0
intr_Torque (Nm)__friedrich_coefficients__coeff_2__m_3__r_30,0.0,0.0
"intr_Torque (Nm)__fft_coefficient__attr_""real""__coeff_37",0.0,0.0
"intr_Torque (Nm)__fft_coefficient__attr_""abs""__coeff_57",0.0,0.0
intr_Current (V)__c3__lag_1,0.0,0.0
"intr_Current (V)__change_quantiles__f_agg_""var""__isabs_True__qh_0.8__ql_0.0",0.0,0.0
"intr_Current (V)__agg_linear_trend__attr_""rvalue""__chunk_len_10__f_agg_""var""",0.0,0.0
"intr_Current (V)__fft_coefficient__attr_""imag""__coeff_94",0.0,0.0
intr_Torque (Nm)__number_peaks__n_3,0.0,0.0
intr_Torque (Nm)__root_mean_square,0.0,0.0
intr_Torque (Nm)__benford_correlation,0.0,0.0
intr_Torque (Nm)__permutation_entropy__dimension_4__tau_1,0.0,0.0
intr_Torque (Nm)__number_peaks__n_5,0.0,0.0
task_Robot_I (A)__range_count__max_1000000000000.0__min_0,0.0,0.0
task_Robot_I (A)__length,0.0,0.0
"intr_Current (V)__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.0",0.0,0.0
task_Robot_I (A)__number_peaks__n_3,0.0,0.0
task_Robot_I (A)__number_peaks__n_1,0.0,0.0
intr_Current (V)__number_cwt_peaks__n_1,0.0,0.0
"intr_Torque (Nm)__fft_coefficient__attr_""abs""__coeff_60",0.0,0.0
"intr_Current (V)__cwt_coefficients__coeff_7__w_20__widths_(2, 5, 10, 20)",0.0,0.0
"intr_Torque (Nm)__fft_coefficient__attr_""imag""__coeff_51",0.0,0.0
"intr_Torque (Nm)__agg_linear_trend__attr_""slope""__chunk_len_5__f_agg_""var""",0.0,0.0
intr_Torque (Nm)__fourier_entropy__bins_2,0.0,0.0
intr_Torque (Nm)__range_count__max_1__min_-1,0.0,0.0
intr_Current (V)__range_count__max_1__min_-1,0.0,0.0
"task_Robot_I (A)__fft_coefficient__attr_""real""__coeff_0",0.0,0.0
"task_Robot_I (A)__fft_coefficient__attr_""abs""__coeff_0",0.0,0.0
task_Robot_I (A)__sum_values,0.0,0.0
"intr_Current (V)__fft_coefficient__attr_""angle""__coeff_87",0.0,0.0
"intr_Torque (Nm)__fft_coefficient__attr_""abs""__coeff_58",0.0,0.0
"intr_Current (V)__cwt_coefficients__coeff_6__w_10__widths_(2, 5, 10, 20)",0.0,0.0
"intr_Current (V)__fft_aggregated__aggtype_""centroid""",0.0,0.0
intr_Torque (Nm)__index_mass_quantile__q_0.4,0.0,0.0
"intr_Current (V)__fft_coefficient__attr_""real""__coeff_99",0.0,0.0
"intr_Current (V)__fft_coefficient__attr_""real""__coeff_81",0.0,0.0
task_Robot_I (A)__abs_energy,0.0,0.0
"intr_Current (V)__fft_coefficient__attr_""real""__coeff_72",0.0,0.0
intr_Current (V)__c3__lag_2,0.0,0.0
"task_Robot_I (A)__fft_coefficient__attr_""real""__coeff_2",0.0,0.0
intr_Current (V)__number_cwt_peaks__n_5,0.0,0.0
intr_Torque (Nm)__cid_ce__normalize_True,0.0,0.0
"task_Robot_I (A)__change_quantiles__f_agg_""var""__isabs_False__qh_0.4__ql_0.2",0.0,0.0
intr_Current (V)__quantile__q_0.9,0.0,0.0
"task_Robot_I (A)__fft_coefficient__attr_""abs""__coeff_94",0.0,0.0
"intr_Current (V)__fft_coefficient__attr_""angle""__coeff_28",0.0,0.0
"task_Robot_I (A)__fft_coefficient__attr_""abs""__coeff_86",0.0,0.0
"task_Robot_I (A)__agg_linear_trend__attr_""stderr""__chunk_len_5__f_agg_""var""",0.0,0.0
"task_Robot_I (A)__fft_coefficient__attr_""angle""__coeff_13",0.0,0.0
intr_Current (V)__lempel_ziv_complexity__bins_10,0.0,0.0
"task_Robot_I (A)__fft_coefficient__attr_""abs""__coeff_69",0.0,0.0
"intr_Torque (Nm)__fft_coefficient__attr_""imag""__coeff_47",0.0,0.0
"task_Robot_I (A)__fft_coefficient__attr_""abs""__coeff_70",0.0,0.0
intr_Torque (Nm)__permutation_entropy__dimension_5__tau_1,0.0,0.0
task_Robot_I (A)__index_mass_quantile__q_0.6,0.0,0.0
"task_Robot_I (A)__fft_coefficient__attr_""real""__coeff_16",0.0,0.0
